spUTCTime,spClockTime,price
2025-02-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,9.486
2025-02-01 00:30:00+00:00,2025-02-01 00:30:00+00:00,9.309999999999999
2025-02-01 01:00:00+00:00,2025-02-01 01:00:00+00:00,9.309999999999999
2025-02-01 01:30:00+00:00,2025-02-01 01:30:00+00:00,9.309999999999999
2025-02-01 02:00:00+00:00,2025-02-01 02:00:00+00:00,9.315000000000001
2025-02-01 02:30:00+00:00,2025-02-01 02:30:00+00:00,9.315000000000001
2025-02-01 03:00:00+00:00,2025-02-01 03:00:00+00:00,9.315999999999999
2025-02-01 03:30:00+00:00,2025-02-01 03:30:00+00:00,9.315000000000001
2025-02-01 04:00:00+00:00,2025-02-01 04:00:00+00:00,9.315999999999999
2025-02-01 04:30:00+00:00,2025-02-01 04:30:00+00:00,9.315000000000001
2025-02-01 05:00:00+00:00,2025-02-01 05:00:00+00:00,0.05
2025-02-01 05:30:00+00:00,2025-02-01 05:30:00+00:00,0.05
2025-02-01 06:00:00+00:00,2025-02-01 06:00:00+00:00,9.325
2025-02-01 06:30:00+00:00,2025-02-01 06:30:00+00:00,12.572577212962964
2025-02-01 07:00:00+00:00,2025-02-01 07:00:00+00:00,13.7
2025-02-01 07:30:00+00:00,2025-02-01 07:30:00+00:00,13.7
2025-02-01 08:00:00+00:00,2025-02-01 08:00:00+00:00,14.125
2025-02-01 08:30:00+00:00,2025-02-01 08:30:00+00:00,14.8
2025-02-01 09:00:00+00:00,2025-02-01 09:00:00+00:00,14.8
2025-02-01 09:30:00+00:00,2025-02-01 09:30:00+00:00,12.088
2025-02-01 10:00:00+00:00,2025-02-01 10:00:00+00:00,10.916
2025-02-01 10:30:00+00:00,2025-02-01 10:30:00+00:00,11.9
2025-02-01 11:00:00+00:00,2025-02-01 11:00:00+00:00,11.2
2025-02-01 11:30:00+00:00,2025-02-01 11:30:00+00:00,9.972
2025-02-01 12:00:00+00:00,2025-02-01 12:00:00+00:00,11.9
2025-02-01 12:30:00+00:00,2025-02-01 12:30:00+00:00,12.0
2025-02-01 13:00:00+00:00,2025-02-01 13:00:00+00:00,13.0
2025-02-01 13:30:00+00:00,2025-02-01 13:30:00+00:00,11.879999999999999
2025-02-01 14:00:00+00:00,2025-02-01 14:00:00+00:00,11.2
2025-02-01 14:30:00+00:00,2025-02-01 14:30:00+00:00,11.86
2025-02-01 15:00:00+00:00,2025-02-01 15:00:00+00:00,13.9
2025-02-01 15:30:00+00:00,2025-02-01 15:30:00+00:00,13.0
2025-02-01 16:00:00+00:00,2025-02-01 16:00:00+00:00,9.34
2025-02-01 16:30:00+00:00,2025-02-01 16:30:00+00:00,14.4
2025-02-01 17:00:00+00:00,2025-02-01 17:00:00+00:00,9.9
2025-02-01 17:30:00+00:00,2025-02-01 17:30:00+00:00,14.4
2025-02-01 18:00:00+00:00,2025-02-01 18:00:00+00:00,14.4
2025-02-01 18:30:00+00:00,2025-02-01 18:30:00+00:00,14.4
2025-02-01 19:00:00+00:00,2025-02-01 19:00:00+00:00,13.327013333333332
2025-02-01 19:30:00+00:00,2025-02-01 19:30:00+00:00,13.325999999999999
2025-02-01 20:00:00+00:00,2025-02-01 20:00:00+00:00,13.5
2025-02-01 20:30:00+00:00,2025-02-01 20:30:00+00:00,13.485
2025-02-01 21:00:00+00:00,2025-02-01 21:00:00+00:00,12.775
2025-02-01 21:30:00+00:00,2025-02-01 21:30:00+00:00,9.0
2025-02-01 22:00:00+00:00,2025-02-01 22:00:00+00:00,9.333
2025-02-01 22:30:00+00:00,2025-02-01 22:30:00+00:00,9.333
2025-02-01 23:00:00+00:00,2025-02-01 23:00:00+00:00,12.5
2025-02-01 23:30:00+00:00,2025-02-01 23:30:00+00:00,12.5
2025-02-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,12.5
2025-02-02 00:30:00+00:00,2025-02-02 00:30:00+00:00,12.8
2025-02-02 01:00:00+00:00,2025-02-02 01:00:00+00:00,12.8
2025-02-02 01:30:00+00:00,2025-02-02 01:30:00+00:00,12.8
2025-02-02 02:00:00+00:00,2025-02-02 02:00:00+00:00,12.88
2025-02-02 02:30:00+00:00,2025-02-02 02:30:00+00:00,12.5
2025-02-02 03:00:00+00:00,2025-02-02 03:00:00+00:00,12.5
2025-02-02 03:30:00+00:00,2025-02-02 03:30:00+00:00,12.5
2025-02-02 04:00:00+00:00,2025-02-02 04:00:00+00:00,12.5
2025-02-02 04:30:00+00:00,2025-02-02 04:30:00+00:00,12.2
