spUTCTime,spClockTime,price
2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,9.553
2025-03-01 00:30:00+00:00,2025-03-01 00:30:00+00:00,7.75
2025-03-01 01:00:00+00:00,2025-03-01 01:00:00+00:00,9.488
2025-03-01 01:30:00+00:00,2025-03-01 01:30:00+00:00,8.804
2025-03-01 02:00:00+00:00,2025-03-01 02:00:00+00:00,8.844
2025-03-01 02:30:00+00:00,2025-03-01 02:30:00+00:00,8.998000000000001
2025-03-01 03:00:00+00:00,2025-03-01 03:00:00+00:00,9.02
2025-03-01 03:30:00+00:00,2025-03-01 03:30:00+00:00,8.576
2025-03-01 04:00:00+00:00,2025-03-01 04:00:00+00:00,11.0
2025-03-01 04:30:00+00:00,2025-03-01 04:30:00+00:00,11.0
2025-03-01 05:00:00+00:00,2025-03-01 05:00:00+00:00,9.815000000000001
2025-03-01 05:30:00+00:00,2025-03-01 05:30:00+00:00,11.1
2025-03-01 06:00:00+00:00,2025-03-01 06:00:00+00:00,10.8
2025-03-01 06:30:00+00:00,2025-03-01 06:30:00+00:00,10.8
2025-03-01 07:00:00+00:00,2025-03-01 07:00:00+00:00,7.5
2025-03-01 07:30:00+00:00,2025-03-01 07:30:00+00:00,7.7459999999999996
2025-03-01 08:00:00+00:00,2025-03-01 08:00:00+00:00,11.8
2025-03-01 08:30:00+00:00,2025-03-01 08:30:00+00:00,7.953
2025-03-01 09:00:00+00:00,2025-03-01 09:00:00+00:00,7.955
2025-03-01 09:30:00+00:00,2025-03-01 09:30:00+00:00,4.667197139627145
2025-03-01 10:00:00+00:00,2025-03-01 10:00:00+00:00,7.959999999999999
2025-03-01 10:30:00+00:00,2025-03-01 10:30:00+00:00,7.092080442463494
2025-03-01 11:00:00+00:00,2025-03-01 11:00:00+00:00,7.959999999999999
2025-03-01 11:30:00+00:00,2025-03-01 11:30:00+00:00,7.906000000000001
2025-03-01 12:00:00+00:00,2025-03-01 12:00:00+00:00,1.4849999999999999
2025-03-01 12:30:00+00:00,2025-03-01 12:30:00+00:00,7.1
2025-03-01 13:00:00+00:00,2025-03-01 13:00:00+00:00,7.956
2025-03-01 13:30:00+00:00,2025-03-01 13:30:00+00:00,10.7
2025-03-01 14:00:00+00:00,2025-03-01 14:00:00+00:00,7.95
2025-03-01 14:30:00+00:00,2025-03-01 14:30:00+00:00,10.5
