creationTime,settlementDate,settlementPeriod,settlementRunType,totalExemptSupplyVolume
2026-02-09T10:00:31Z,2025-06-20,4,R3,0.0795
2026-02-09T10:00:31Z,2025-06-20,3,R3,0.0773
2026-02-09T10:00:31Z,2025-06-20,2,R3,0.0728
2026-02-09T10:00:31Z,2025-06-20,1,R3,0.0734
2026-02-09T10:00:31Z,2025-06-20,22,R3,0.3342
2026-02-09T10:00:31Z,2025-06-20,11,R3,0.1427
2026-02-09T10:00:31Z,2025-06-20,23,R3,0.3515
2026-02-09T10:00:31Z,2025-06-20,24,R3,0.3501
2026-02-09T10:00:31Z,2025-06-20,25,R3,0.3498
2026-02-09T10:00:31Z,2025-06-20,47,R3,0.072
2026-02-09T10:00:31Z,2025-06-20,46,R3,0.069
2026-02-09T10:00:31Z,2025-06-20,45,R3,0.0729
2026-02-09T10:00:31Z,2025-06-20,44,R3,0.0787
2026-02-09T10:00:31Z,2025-06-20,43,R3,0.0799
2026-02-09T10:00:31Z,2025-06-20,42,R3,0.0761
2026-02-09T10:00:31Z,2025-06-20,41,R3,0.0852
2026-02-09T10:00:31Z,2025-06-20,40,R3,0.0883
2026-02-09T10:00:31Z,2025-06-20,39,R3,0.087
2026-02-09T10:00:31Z,2025-06-20,38,R3,0.0985
2026-02-09T10:00:31Z,2025-06-20,37,R3,0.1003
2026-02-09T10:00:31Z,2025-06-20,48,R3,0.0725
2026-02-09T10:00:31Z,2025-06-20,35,R3,0.1425
2026-02-09T10:00:31Z,2025-06-20,34,R3,0.233
2026-02-09T10:00:31Z,2025-06-20,33,R3,0.302
2026-02-09T10:00:31Z,2025-06-20,32,R3,0.3395
2026-02-09T10:00:31Z,2025-06-20,31,R3,0.354
2026-02-09T10:00:31Z,2025-06-20,30,R3,0.3548
2026-02-09T10:00:31Z,2025-06-20,29,R3,0.3642
2026-02-09T10:00:31Z,2025-06-20,28,R3,0.3719
2026-02-09T10:00:31Z,2025-06-20,27,R3,0.365
2026-02-09T10:00:31Z,2025-06-20,26,R3,0.3497
2026-02-09T10:00:31Z,2025-06-20,36,R3,0.1174
2026-02-09T10:00:31Z,2025-06-21,14,R3,0.0728
2026-02-09T10:00:31Z,2025-06-21,15,R3,0.0804
2026-02-09T10:00:31Z,2025-06-21,16,R3,0.0758
2026-02-09T10:00:31Z,2025-06-21,21,R3,0.0826
2026-02-09T10:00:31Z,2025-06-21,18,R3,0.0801
2026-02-09T10:00:31Z,2025-06-21,19,R3,0.0733
2026-02-09T10:00:31Z,2025-06-21,20,R3,0.078
2026-02-09T10:00:31Z,2025-06-21,13,R3,0.0735
2026-02-09T10:00:31Z,2025-06-21,17,R3,0.0795
2026-02-09T10:00:31Z,2025-06-21,12,R3,0.0703
2026-02-09T10:00:31Z,2025-06-21,6,R3,0.0734
2026-02-09T10:00:31Z,2025-06-21,10,R3,0.0752
2026-02-09T10:00:31Z,2025-06-21,9,R3,0.0734
2026-02-09T10:00:31Z,2025-06-21,8,R3,0.0754
2026-02-09T10:00:31Z,2025-06-21,7,R3,0.0758
2026-02-09T10:00:31Z,2025-06-21,5,R3,0.0809
2026-02-09T10:00:31Z,2025-06-21,4,R3,0.0756
2026-02-09T10:00:31Z,2025-06-21,3,R3,0.0697
2026-02-09T10:00:31Z,2025-06-21,2,R3,0.0706
2026-02-09T10:00:31Z,2025-06-21,1,R3,0.0726
2026-02-09T10:00:31Z,2025-06-21,22,R3,0.0726
2026-02-09T10:00:31Z,2025-06-21,11,R3,0.0734
2026-02-09T10:00:31Z,2025-06-21,23,R3,0.0728
2026-02-09T10:00:31Z,2025-06-21,24,R3,0.0723
2026-02-09T10:00:31Z,2025-06-21,25,R3,0.0732
2026-02-09T10:00:31Z,2025-06-21,47,R3,0.0738
2026-02-09T10:00:31Z,2025-06-21,46,R3,0.0801
2026-02-09T10:00:31Z,2025-06-21,45,R3,0.0799
2026-02-09T10:00:31Z,2025-06-21,44,R3,0.0822
2026-02-09T10:00:31Z,2025-06-21,43,R3,0.0773
2026-02-09T10:00:31Z,2025-06-21,42,R3,0.0825
2026-02-09T10:00:31Z,2025-06-21,41,R3,0.0769
2026-02-09T10:00:31Z,2025-06-21,40,R3,0.0729
2026-02-09T10:00:31Z,2025-06-21,39,R3,0.0737
2026-02-09T10:00:31Z,2025-06-21,38,R3,0.0806
2026-02-09T10:00:31Z,2025-06-21,37,R3,0.0739
2026-02-09T10:00:31Z,2025-06-21,48,R3,0.0737
2026-02-09T10:00:31Z,2025-06-21,35,R3,0.0721
2026-02-09T10:00:31Z,2025-06-21,34,R3,0.0737
2026-02-09T10:00:31Z,2025-06-21,33,R3,0.0714
2026-02-09T10:00:31Z,2025-06-21,32,R3,0.0731
2026-02-09T10:00:31Z,2025-06-21,31,R3,0.082
2026-02-09T10:00:31Z,2025-06-21,30,R3,0.0818
2026-02-09T10:00:31Z,2025-06-21,29,R3,0.0779
2026-02-09T10:00:31Z,2025-06-21,28,R3,0.0755
2026-02-09T10:00:31Z,2025-06-21,27,R3,0.0762
2026-02-09T10:00:31Z,2025-06-21,26,R3,0.0762
2026-02-09T10:00:31Z,2025-06-21,36,R3,0.0735
2026-02-09T10:00:31Z,2025-06-22,14,R3,0.0754
2026-02-09T10:00:31Z,2025-06-22,15,R3,0.0772
2026-02-09T10:00:31Z,2025-06-22,16,R3,0.0805
2026-02-09T10:00:31Z,2025-06-22,21,R3,0.0778
2026-02-09T10:00:31Z,2025-06-22,18,R3,0.0756
2026-02-09T10:00:31Z,2025-06-22,19,R3,0.0815
2026-02-09T10:00:31Z,2025-06-22,20,R3,0.0805
2026-02-09T10:00:31Z,2025-06-22,13,R3,0.0752
2026-02-09T10:00:31Z,2025-06-22,17,R3,0.0791
2026-02-09T10:00:31Z,2025-06-22,12,R3,0.0747
2026-02-09T10:00:31Z,2025-06-22,6,R3,0.075
2026-02-09T10:00:31Z,2025-06-22,10,R3,0.0765
2026-02-09T10:00:31Z,2025-06-22,9,R3,0.0749
2026-02-09T10:00:31Z,2025-06-22,8,R3,0.082
2026-02-09T10:00:31Z,2025-06-22,7,R3,0.0817
2026-02-09T10:00:31Z,2025-06-22,5,R3,0.0814
2026-02-09T10:00:31Z,2025-06-22,4,R3,0.0822
2026-02-09T10:00:31Z,2025-06-22,3,R3,0.0836
2026-02-09T10:00:31Z,2025-06-22,2,R3,0.079
2026-02-09T10:00:31Z,2025-06-22,1,R3,0.0795
2026-02-09T10:00:31Z,2025-06-22,22,R3,0.0774
2026-02-09T10:00:31Z,2025-06-22,11,R3,0.075
2026-02-09T10:00:31Z,2025-06-22,23,R3,0.0761
2026-02-09T10:00:31Z,2025-06-22,24,R3,0.0799
2026-02-09T10:00:31Z,2025-06-22,25,R3,0.0754
2026-02-09T10:00:31Z,2025-06-22,47,R3,0.0755
2026-02-09T10:00:31Z,2025-06-22,46,R3,0.0763
2026-02-09T10:00:31Z,2025-06-22,45,R3,0.0718
2026-02-09T10:00:31Z,2025-06-22,44,R3,0.0723
2026-02-09T10:00:31Z,2025-06-22,43,R3,0.0743
2026-02-09T10:00:31Z,2025-06-22,42,R3,0.0822
2026-02-09T10:00:31Z,2025-06-22,41,R3,0.0792
2026-02-09T10:00:31Z,2025-06-22,40,R3,0.077
2026-02-09T10:00:31Z,2025-06-22,39,R3,0.0756
2026-02-09T10:00:31Z,2025-06-22,38,R3,0.0757
2026-02-09T10:00:31Z,2025-06-22,37,R3,0.0749
2026-02-09T10:00:31Z,2025-06-22,48,R3,0.0766
2026-02-09T10:00:31Z,2025-06-22,35,R3,0.0765
2026-02-09T10:00:31Z,2025-06-22,34,R3,0.0766
2026-02-09T10:00:31Z,2025-06-22,33,R3,0.0756
2026-02-09T10:00:31Z,2025-06-22,32,R3,0.0789
2026-02-09T10:00:31Z,2025-06-22,31,R3,0.0802
2026-02-09T10:00:31Z,2025-06-22,30,R3,0.087
2026-02-09T10:00:31Z,2025-06-22,29,R3,0.0783
2026-02-09T10:00:31Z,2025-06-22,28,R3,0.0789
2026-02-09T10:00:31Z,2025-06-22,27,R3,0.0757
2026-02-09T10:00:31Z,2025-06-22,26,R3,0.0734
2026-02-09T10:00:31Z,2025-06-22,36,R3,0.0754
2026-02-09T10:00:31Z,2025-06-23,14,R3,0.2698
2026-02-09T10:00:31Z,2025-06-23,15,R3,0.3054
2026-02-09T10:00:31Z,2025-06-23,16,R3,0.3277
2026-02-09T10:00:31Z,2025-06-23,21,R3,0.3789
2026-02-09T10:00:31Z,2025-06-23,18,R3,0.3544
2026-02-09T10:00:31Z,2025-06-23,19,R3,0.3772
2026-02-09T10:00:31Z,2025-06-23,20,R3,0.3802
2026-02-09T10:00:31Z,2025-06-23,13,R3,0.2552
2026-02-09T10:00:31Z,2025-06-23,17,R3,0.3367
2026-02-09T10:00:31Z,2025-06-23,12,R3,0.2179
2026-02-09T10:00:31Z,2025-06-23,6,R3,0.1549
2026-02-09T10:00:31Z,2025-06-23,10,R3,0.1655
2026-02-09T10:00:31Z,2025-06-23,9,R3,0.1457
2026-02-09T10:00:31Z,2025-06-23,8,R3,0.1447
2026-02-09T10:00:31Z,2025-06-23,7,R3,0.1527
2026-02-09T10:00:31Z,2025-06-23,5,R3,0.1468
2026-02-09T10:00:31Z,2025-06-23,4,R3,0.0908
2026-02-09T10:00:31Z,2025-06-23,3,R3,0.0758
2026-02-09T10:00:31Z,2025-06-23,2,R3,0.0775
2026-02-09T10:00:31Z,2025-06-23,1,R3,0.0762
2026-02-09T10:00:31Z,2025-06-23,22,R3,0.3807
2026-02-09T10:00:31Z,2025-06-23,11,R3,0.1761
2026-02-09T10:00:31Z,2025-06-23,23,R3,0.3927
2026-02-09T10:00:31Z,2025-06-23,24,R3,0.3751
2026-02-09T10:00:31Z,2025-06-23,25,R3,0.3627
2026-02-09T10:00:31Z,2025-06-23,47,R3,0.0763
2026-02-09T10:00:31Z,2025-06-23,46,R3,0.0743
2026-02-09T10:00:31Z,2025-06-23,45,R3,0.0751
2026-02-09T10:00:31Z,2025-06-23,44,R3,0.074
2026-02-09T10:00:31Z,2025-06-23,43,R3,0.0796
2026-02-09T10:00:31Z,2025-06-23,42,R3,0.0881
2026-02-09T10:00:31Z,2025-06-23,41,R3,0.0843
2026-02-09T10:00:31Z,2025-06-23,40,R3,0.0893
2026-02-09T10:00:31Z,2025-06-23,39,R3,0.0862
2026-02-09T10:00:31Z,2025-06-23,38,R3,0.0968
2026-02-09T10:00:31Z,2025-06-23,37,R3,0.1094
2026-02-09T10:00:31Z,2025-06-23,48,R3,0.0762
2026-02-09T10:00:31Z,2025-06-23,35,R3,0.1507
2026-02-09T10:00:31Z,2025-06-23,34,R3,0.2476
2026-02-09T10:00:31Z,2025-06-23,33,R3,0.3111
2026-02-09T10:00:31Z,2025-06-23,32,R3,0.337
2026-02-09T10:00:31Z,2025-06-23,31,R3,0.3607
2026-02-09T10:00:31Z,2025-06-23,30,R3,0.3641
2026-02-09T10:00:31Z,2025-06-23,29,R3,0.3664
2026-02-09T10:00:31Z,2025-06-23,28,R3,0.3744
2026-02-09T10:00:31Z,2025-06-23,27,R3,0.3676
2026-02-09T10:00:31Z,2025-06-23,26,R3,0.3766
2026-02-09T10:00:31Z,2025-06-23,36,R3,0.1298
2026-02-09T10:00:31Z,2025-06-24,14,R3,0.2794
2026-02-09T10:00:31Z,2025-06-24,15,R3,0.3131
2026-02-09T10:00:31Z,2025-06-24,16,R3,0.3252
2026-02-09T10:00:31Z,2025-06-24,21,R3,0.3912
2026-02-09T10:00:31Z,2025-06-24,18,R3,0.3718
2026-02-09T10:00:31Z,2025-06-24,19,R3,0.3824
2026-02-09T10:00:31Z,2025-06-24,20,R3,0.3854
2026-02-09T10:00:31Z,2025-06-24,13,R3,0.262
2026-02-09T10:00:31Z,2025-06-24,17,R3,0.338
2026-02-09T10:00:31Z,2025-06-24,12,R3,0.2124
2026-02-09T10:00:31Z,2025-06-24,6,R3,0.0993
2026-02-09T10:00:31Z,2025-06-24,10,R3,0.1178
2026-02-09T10:00:31Z,2025-06-24,9,R3,0.1133
2026-02-09T10:00:31Z,2025-06-24,8,R3,0.1084
2026-02-09T10:00:31Z,2025-06-24,7,R3,0.1068
2026-02-09T10:00:31Z,2025-06-24,5,R3,0.0942
2026-02-09T10:00:31Z,2025-06-24,4,R3,0.0888
2026-02-09T10:00:31Z,2025-06-24,3,R3,0.0762
2026-02-09T10:00:31Z,2025-06-24,2,R3,0.0699
2026-02-09T10:00:31Z,2025-06-24,1,R3,0.0706
2026-02-09T10:00:31Z,2025-06-24,22,R3,0.4117
2026-02-09T10:00:31Z,2025-06-24,11,R3,0.1467
2026-02-09T10:00:31Z,2025-06-24,23,R3,0.397
2026-02-09T10:00:31Z,2025-06-24,24,R3,0.4045
2026-02-09T10:00:31Z,2025-06-24,25,R3,0.3766
2026-02-09T10:00:31Z,2025-06-24,47,R3,0.0783
2026-02-09T10:00:31Z,2025-06-24,46,R3,0.0747
2026-02-09T10:00:31Z,2025-06-24,45,R3,0.0721
2026-02-09T10:00:31Z,2025-06-24,44,R3,0.0718
2026-02-09T10:00:31Z,2025-06-24,43,R3,0.0844
2026-02-09T10:00:31Z,2025-06-24,42,R3,0.0889
2026-02-09T10:00:31Z,2025-06-24,41,R3,0.0898
2026-02-09T10:00:31Z,2025-06-24,40,R3,0.0846
2026-02-09T10:00:31Z,2025-06-24,39,R3,0.0882
2026-02-09T10:00:31Z,2025-06-24,38,R3,0.0984
2026-02-09T10:00:31Z,2025-06-24,37,R3,0.114
2026-02-09T10:00:31Z,2025-06-24,48,R3,0.0718
2026-02-09T10:00:31Z,2025-06-24,35,R3,0.154
2026-02-09T10:00:31Z,2025-06-24,34,R3,0.2635
2026-02-09T10:00:31Z,2025-06-24,33,R3,0.3416
2026-02-09T10:00:31Z,2025-06-24,32,R3,0.37
2026-02-09T10:00:31Z,2025-06-24,31,R3,0.3742
2026-02-09T10:00:31Z,2025-06-24,30,R3,0.3682
2026-02-09T10:00:31Z,2025-06-24,29,R3,0.3797
2026-02-09T10:00:31Z,2025-06-24,28,R3,0.3542
2026-02-09T10:00:31Z,2025-06-24,27,R3,0.3512
2026-02-09T10:00:31Z,2025-06-24,26,R3,0.3553
2026-02-09T10:00:31Z,2025-06-24,36,R3,0.1328
2026-02-09T10:00:31Z,2025-06-25,14,R3,0.2794
2026-02-09T10:00:31Z,2025-06-25,15,R3,0.3047
2026-02-09T10:00:31Z,2025-06-25,16,R3,0.3255
2026-02-09T10:00:31Z,2025-06-25,21,R3,0.3947
2026-02-09T10:00:31Z,2025-06-25,18,R3,0.3606
