spUTCTime,spClockTime,volume
2025-03-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,-97.23740638888889
2025-03-01 00:30:00+00:00,2025-03-01 00:30:00+00:00,-0.9184931445868946
2025-03-01 01:00:00+00:00,2025-03-01 01:00:00+00:00,-119.1265939403652
2025-03-01 01:30:00+00:00,2025-03-01 01:30:00+00:00,-272.3719696969697
2025-03-01 02:00:00+00:00,2025-03-01 02:00:00+00:00,-185.45878623737374
2025-03-01 02:30:00+00:00,2025-03-01 02:30:00+00:00,-86.8625
2025-03-01 03:00:00+00:00,2025-03-01 03:00:00+00:00,-67.73270798059964
2025-03-01 03:30:00+00:00,2025-03-01 03:30:00+00:00,-98.03136682539683
2025-03-01 04:00:00+00:00,2025-03-01 04:00:00+00:00,29.209876832010583
2025-03-01 04:30:00+00:00,2025-03-01 04:30:00+00:00,10.150669861111112
2025-03-01 05:00:00+00:00,2025-03-01 05:00:00+00:00,-12.688902962962963
2025-03-01 05:30:00+00:00,2025-03-01 05:30:00+00:00,35.063562091503265
2025-03-01 06:00:00+00:00,2025-03-01 06:00:00+00:00,10.219469575163398
2025-03-01 06:30:00+00:00,2025-03-01 06:30:00+00:00,1.3542769874338625
2025-03-01 07:00:00+00:00,2025-03-01 07:00:00+00:00,-225.54549927910054
2025-03-01 07:30:00+00:00,2025-03-01 07:30:00+00:00,-109.70129166666666
2025-03-01 08:00:00+00:00,2025-03-01 08:00:00+00:00,17.166666666666668
2025-03-01 08:30:00+00:00,2025-03-01 08:30:00+00:00,-202.6091715277778
2025-03-01 09:00:00+00:00,2025-03-01 09:00:00+00:00,-151.57608771929824
2025-03-01 09:30:00+00:00,2025-03-01 09:30:00+00:00,-236.99507603174604
2025-03-01 10:00:00+00:00,2025-03-01 10:00:00+00:00,-194.00416666666666
2025-03-01 10:30:00+00:00,2025-03-01 10:30:00+00:00,-231.21944444444443
2025-03-01 11:00:00+00:00,2025-03-01 11:00:00+00:00,-18.31822222222222
2025-03-01 11:30:00+00:00,2025-03-01 11:30:00+00:00,-107.3149436111111
2025-03-01 12:00:00+00:00,2025-03-01 12:00:00+00:00,-378.07006035714284
2025-03-01 12:30:00+00:00,2025-03-01 12:30:00+00:00,-293.37941681856154
2025-03-01 13:00:00+00:00,2025-03-01 13:00:00+00:00,-100.97015994883041
2025-03-01 13:30:00+00:00,2025-03-01 13:30:00+00:00,49.50884777777778
2025-03-01 14:00:00+00:00,2025-03-01 14:00:00+00:00,-49.675756944444444
2025-03-01 14:30:00+00:00,2025-03-01 14:30:00+00:00,44.010737261904765
2025-03-01 15:00:00+00:00,2025-03-01 15:00:00+00:00,-95.64067521825397
2025-03-01 15:30:00+00:00,2025-03-01 15:30:00+00:00,-109.27410441666666
2025-03-01 16:00:00+00:00,2025-03-01 16:00:00+00:00,-83.1759028525641
2025-03-01 16:30:00+00:00,2025-03-01 16:30:00+00:00,10.327920476608186
2025-03-01 17:00:00+00:00,2025-03-01 17:00:00+00:00,-141.38636842105262
2025-03-01 17:30:00+00:00,2025-03-01 17:30:00+00:00,118.99061773504273
2025-03-01 18:00:00+00:00,2025-03-01 18:00:00+00:00,58.071983333333336
2025-03-01 18:30:00+00:00,2025-03-01 18:30:00+00:00,246.81436222222223
2025-03-01 19:00:00+00:00,2025-03-01 19:00:00+00:00,294.5555533333333
2025-03-01 19:30:00+00:00,2025-03-01 19:30:00+00:00,-15.940361527777778
2025-03-01 20:00:00+00:00,2025-03-01 20:00:00+00:00,-138.20625
